nodeID,imdbID
6763204,tt0032643
6763206,tt0032644
6763234,tt0032651
6763237,tt0032651
6763240,tt0032651
6763272,tt0032653
6763276,tt0032653
6763285,tt0032653
6763302,tt0032655
6763386,tt0032670
6763398,tt0032670
6763404,tt0032670
6763409,tt0032671
6763431,tt0032671
6763433,tt0032671
6763461,tt0032676
6763470,tt0032676
6763479,tt0032676
6763483,tt0032676
6763600,tt0032683
6763654,tt0032686
6763767,tt0032701
6763785,tt0032701
6763797,tt0032701
6763805,tt0032701
6763822,tt0032701
6764008,tt0032718
6764105,tt0032725
6764116,tt0032726
6764134,tt0032728
6764151,tt0032728
6764253,tt0032733
6764256,tt0032733
6764285,tt0032742
6764293,tt0032742
6764316,tt0032746
6764324,tt0032746
6764327,tt0032746
6764544,tt0032762
6764549,tt0032762
6764566,tt0032762
6764590,tt0032762
6764846,tt0032786
6764879,tt0032786
6764881,tt0032786
6764903,tt0032788
6764908,tt0032788
6764945,tt0032794
6764963,tt0032794
6765052,tt0032802
6765111,tt0032811
6765116,tt0032811
6765155,tt0032811
6765187,tt0032811
6765189,tt0032814
6765263,tt0032814
6765295,tt0032818
6765303,tt0032818
6765333,tt0032819
6765339,tt0032819
6765465,tt0032828
6765470,tt0032828
6765491,tt0032829
6765574,tt0032840
6765577,tt0032840
6765607,tt0032842
6765661,tt0032842
6765678,tt0032842
6765703,tt0032842
6765705,tt0032842
6765788,tt0032846
6765790,tt0032846
6765809,tt0032847
6765853,tt0032850
6765885,tt0032850
6765888,tt0032850
6765891,tt0032851
6765899,tt0032851
6765904,tt0032851
6766110,tt0032869
6766158,tt0032869
6766189,tt0032871
6766194,tt0032871
6766199,tt0032871
6766229,tt0032873
6766293,tt0032881
6766314,tt0032881
6766322,tt0032881
6766384,tt0032886
6766388,tt0032886
6766390,tt0032886
6766560,tt0032904
6766565,tt0032904
6766567,tt0032904
6766571,tt0032904
6766573,tt0032904
6766591,tt0032904
6766643,tt0032910
6766652,tt0032910
6766662,tt0032910
6766671,tt0032910
6766683,tt0032910
6766687,tt0032910
6766815,tt0032916
6766826,tt0032918
6766833,tt0032918
6766959,tt0032937
6767097,tt0032943
6767102,tt0032943
6767116,tt0032946
6767121,tt0032946
6767259,tt0032963
6767269,tt0032963
6767491,tt0032976
6767496,tt0032976
6767515,tt0032976
6767528,tt0032976
6767539,tt0032976
6767581,tt0032981
6767589,tt0032981
6767591,tt0032983
6767595,tt0032983
6767744,tt0032992
6767759,tt0032992
6767767,tt0032993
6768038,tt0033017
6768060,tt0033021
6768074,tt0033021
6768080,tt0033021
6768104,tt0033022
6768107,tt0033022
6768163,tt0033028
6768172,tt0033028
6768174,tt0033028
6768178,tt0033029
6768180,tt0033029
6768241,tt0033038
6768243,tt0033038
6768250,tt0033038
6768361,tt0033045
6768387,tt0033045
6768390,tt0033045
6768403,tt0033045
6768443,tt0033056
6768482,tt0033059
6768504,tt0033059
6768618,tt0033076
6768680,tt0033082
6768705,tt0033082
6769089,tt0033105
6769097,tt0033105
6769111,tt0033107
6769122,tt0033107
6769136,tt0033107
6769143,tt0033107
6769186,tt0033110
6769199,tt0033110
6769264,tt0033118
6769504,tt0033144
6769579,tt0033149
6769595,tt0033149
6769603,tt0033149
6769612,tt0033149
6769615,tt0033149
6769622,tt0033150
6769624,tt0033150
6769644,tt0033152
6769646,tt0033152
6769679,tt0033152
6769704,tt0033153
6769727,tt0033153
6769730,tt0033153
6769747,tt0033157
6769788,tt0033159
6769899,tt0033167
6769914,tt0033167
6769934,tt0033167
6769938,tt0033169
6769943,tt0033169
6770021,tt0033173
6770030,tt0033173
6770035,tt0033174
6770054,tt0033174
6770064,tt0033174
6770072,tt0033175
6770083,tt0033175
6770102,tt0033175
6770383,tt0033203
6770493,tt0033221
6770506,tt0033221
6770513,tt0033224
6770551,tt0033226
6770568,tt0033226
6770654,tt0033238
6770668,tt0033238
6770678,tt0033238
6770906,tt0033253
6770933,tt0033253
6771002,tt0033260
6771013,tt0033260
6771028,tt0033260
6771246,tt0033268
6771263,tt0033268
6771543,tt0033282
6771545,tt0033282
6771556,tt0033282
6771573,tt0033283
6771587,tt0033283
6771645,tt0033288
6771650,tt0033289
6771917,tt0033314
6771922,tt0033314
6771925,tt0033314
6771965,tt0033317
6771972,tt0033317
6772009,tt0033324
6772022,tt0033324
6772162,tt0033337
6772164,tt0033337
6772460,tt0033357
6772542,tt0033365
6772555,tt0033365
6772624,tt0033369
6772707,tt0033373
6772714,tt0033373
6772720,tt0033373
6772723,tt0033373
6772776,tt0033378
6772837,tt0033383
6772845,tt0033383
6772888,tt0033388
6772891,tt0033388
6772893,tt0033389
6772915,tt0033389
6773012,tt0033396
6773017,tt0033397
6773059,tt0033397
6773069,tt0033397
6773073,tt0033398
6773164,tt0033403
6773178,tt0033404
6773203,tt0033405
6773221,tt0033405
6773226,tt0033406
6773233,tt0033406
6773240,tt0033406
6773251,tt0033407
6773258,tt0033407
6773270,tt0033407
6773296,tt0033407
6773302,tt0033407
6773387,tt0033409
6773674,tt0033432
6773677,tt0033432
6773681,tt0033432
6773701,tt0033435
6773708,tt0033435
6773710,tt0033436
6773722,tt0033436
6773889,tt0033448
6774075,tt0033458
6774080,tt0033458
6774087,tt0033459
6774106,tt0033459
6774108,tt0033459
6774124,tt0033460
6774127,tt0033460
6774135,tt0033464
6774189,tt0033467
6774207,tt0033467
6774221,tt0033467
6774246,tt0033467
6774333,tt0033467
6774392,tt0033467
6774412,tt0033469
6774420,tt0033469
6774545,tt0033477
6774547,tt0033477
6774687,tt0033489
6774718,tt0033491
6774740,tt0033491
6775064,tt0033512
6775095,tt0033519
6775110,tt0033519
6775146,tt0033525
6775150,tt0033525
6775153,tt0033525
6775178,tt0033530
6775180,tt0033530
6775196,tt0033532
6775210,tt0033532
6775220,tt0033532
6775230,tt0033532
6775254,tt0033533
6775257,tt0033533
6775262,tt0033533
6775269,tt0033533
6775272,tt0033533
6775336,tt0033544
6775493,tt0033553
6775511,tt0033553
6775529,tt0033555
6775547,tt0033558
6775594,tt0033563
6775609,tt0033563
6775614,tt0033563
6775618,tt0033563
6775621,tt0033563
6775704,tt0033568
6775813,tt0033577
6775816,tt0033577
6775831,tt0033582
6775848,tt0033582
6775885,tt0033592
6775906,tt0033592
6775927,tt0033596
6775931,tt0033597
6776083,tt0033603
6776087,tt0033603
6776102,tt0033606
6776110,tt0033606
6776123,tt0033606
6776260,tt0033613
6776542,tt0033627
6776557,tt0033627
6776566,tt0033628
6776583,tt0033628
6776842,tt0033648
6776850,tt0033650
6776853,tt0033650
6776900,tt0033654
6776910,tt0033654
6776999,tt0033660
6777002,tt0033660
6777112,tt0033671
6777132,tt0033671
6777144,tt0033672
6777168,tt0033675
6777170,tt0033676
6777174,tt0033676
6777180,tt0033677
6777184,tt0033677
6777189,tt0033677
6777302,tt0033686
6777304,tt0033686
6777505,tt0033698
6777510,tt0033698
6777556,tt0033704
6777563,tt0033704
6777620,tt0033712
6777653,tt0033712
6777658,tt0033712
6777669,tt0033712
6777728,tt0033717
6777748,tt0033717
6777759,tt0033717
6777852,tt0033722
6777865,tt0033722
6777887,tt0033722
6777906,tt0033723
6777915,tt0033723
6777993,tt0033726
6777998,tt0033726
6778011,tt0033727
6778045,tt0033727
6778053,tt0033727
6778070,tt0033728
6778074,tt0033728
6778076,tt0033728
6778100,tt0033729
6778105,tt0033729
6778107,tt0033729
6778136,tt0033729
6778152,tt0033729
6778178,tt0033729
6778251,tt0033740
6778257,tt0033740
6778262,tt0033740
6778270,tt0033740
6778283,tt0033740
6778466,tt0033754
6778485,tt0033754
6778502,tt0033756
6778625,tt0033760
6778648,tt0033766
6778655,tt0033766
6778708,tt0033774
6778712,tt0033774
6778724,tt0033774
6778728,tt0033774
6778781,tt0033780
6778784,tt0033781
6778844,tt0033787
6778846,tt0033787
6778868,tt0033787
6779017,tt0033802
6779020,tt0033802
6779025,tt0033803
6779027,tt0033804
6779032,tt0033804
6779049,tt0033804
6779067,tt0033804
6779071,tt0033805
6779074,tt0033805
6779094,tt0033808
6779103,tt0033808
6779124,tt0033808
6779324,tt0033832
6779347,tt0033832
6779410,tt0033836
6779434,tt0033836
6779450,tt0033836
6779459,tt0033836
6779474,tt0033838
6779681,tt0033848
6779741,tt0033851
6779744,tt0033851
6779749,tt0033852
6779751,tt0033852
6779753,tt0033852
6779762,tt0033853
6779770,tt0033853
6779836,tt0033858
6779847,tt0033858
6779922,tt0033868
6779940,tt0033870
6779945,tt0033870
6779951,tt0033870
6779957,tt0033870
6780009,tt0033873
6780013,tt0033874
6780020,tt0033874
6780027,tt0033874
6780029,tt0033874
6780031,tt0033874
6780102,tt0033879
6780107,tt0033879
6780123,tt0033883
6780125,tt0033883
6780220,tt0033888
6780225,tt0033888
6780245,tt0033889
6780254,tt0033890
6780274,tt0033891
6780298,tt0033891
6780300,tt0033891
6780309,tt0033891
6780321,tt0033891
6780611,tt0033916
6780617,tt0033916
6780627,tt0033918
6780642,tt0033918
6780661,tt0033922
6780672,tt0033922
6780679,tt0033922
6780826,tt0033945
6780837,tt0033945
6780993,tt0033951
6781253,tt0033974
6781338,tt0033980
6781341,tt0033980
6781415,tt0033987
6781428,tt0033987
6781432,tt0033987
6781569,tt0033994
6781575,tt0033994
6781605,tt0033998
6781607,tt0033998
6781611,tt0033998
6781744,tt0034012
6781749,tt0034012
6781766,tt0034013
6781769,tt0034013
6781825,tt0034027
6781838,tt0034027
6781988,tt0034047
6781998,tt0034047
6782000,tt0034047
6782077,tt0034055
6782088,tt0034055
6782200,tt0034064
6782214,tt0034064
6782248,tt0034071
6782323,tt0034078
6782327,tt0034078
6782576,tt0034091
6782584,tt0034091
6782594,tt0034091
6782600,tt0034092
6782607,tt0034092
6782611,tt0034093
6782614,tt0034093
6783043,tt0034116
6783046,tt0034116
6783057,null
6783064,null
6783080,tt0000003
6783099,tt0000007
6783103,tt0000007
6783109,tt0000008
6783111,tt0000008
6783179,tt0000010
6783196,tt0000010
6783208,tt0000012
6783231,tt0000012
6783247,tt0000013
6783268,tt0000013
6783303,tt0000013
6783308,null
6783318,null
6783344,tt0000016
6783380,tt0000022
6783401,tt0000022
6783408,tt0000023
6783419,tt0000023
6783470,tt0000027
6783480,tt0000028
6783488,tt0000028
6783493,tt0000029
6783497,tt0000029
6783502,tt0000029
6783546,tt0000033
6783552,tt0000033
6783613,tt0000041
6783616,tt0000041
6783798,tt0000070
6783810,tt0000075
6783821,tt0000075
6783823,tt0000075
6783831,tt0000075
6783887,tt0000091
6783908,tt0000091
6783933,tt0000091
6784027,tt0000131
6784031,tt0000131
6784036,tt0000131
6784056,tt0000132
6784083,tt0000132
6784095,tt0000132
6784103,tt0000132
6784152,tt0000136
6784173,tt0000138
6784175,tt0000138
6784218,tt0000138
6784554,tt0000192
6784635,tt0000211
6784637,tt0000211
6784661,tt0000211
6784700,tt0000218
6784703,tt0000218
6784726,tt0000218
6784771,tt0000230
6784791,tt0000230
6784823,tt0000235
6784826,tt0000235
6784844,tt0000235
6784913,tt0000242
6784930,tt0000242
6784982,tt0000246
6784985,tt0000246
6785151,tt0000274
6785200,tt0000299
6785207,tt0000300
6785221,tt0000300
6785227,tt0000300
6785249,tt0000304
6785258,tt0000304
6785270,tt0000304
6785272,tt0000304
6785302,tt0000313
6785314,tt0000313
6785542,tt0000355
6785556,tt0000358
6785572,tt0000358
6785586,tt0000358
6785603,tt0000359
6785630,tt0000359
6785632,tt0000359
6785639,tt0000364
6785651,tt0000364
6785794,tt0000399
6785808,tt0000399
6785815,tt0000399
6785870,tt0000410
6785875,tt0000410
6785901,tt0000417
6785904,tt0000417
6785909,tt0000417
6785913,tt0000417
6785918,tt0000417
6785938,tt0000420
6785954,tt0000423
6786060,tt0000437
6786067,tt0000439
6786072,tt0000439
